,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
177,EVRG,51.94,0.396,2370000.0,11780000000.0,239900000.0,1.9,0.0378,-315.94,22.22,0.0782,0.0258,0.2304,2.0304,25.26,1.97,,
178,ES,82.16,0.329,1430000.0,28280000000.0,322941640.0,2.14,0.0253,-132.97,-175.11,0.0726,0.0223,0.1866,2.2561,32.26,2.34,,
179,RE,206.34,0.458,290000.0,8250000000.0,40420000.0,5.75,0.0281,1440.95,2321.4,0.1105,0.0369,0.1529,1.9918,0.01,0.0,,
180,EXC,35.83,0.386,5830000.0,35610000000.0,974000000.0,1.45,0.0413,31.07,-53.35,0.0349,0.009,0.127,2.8784,40.4,1.41,,
181,EXPE,94.74,1.648,3210000.0,13380000000.0,149884000.0,1.32,0.0138,126.4,177.14,-,-,0.0748,-,-,-,,
182,EXPD,90.36,0.823,1100000.0,15530000000.0,174209000.0,1.0,0.0109,73.36,77.89,0.269,0.1599,0.0938,0.6819,21.11,5.68,,
183,EXR,111.19,0.245,820000.0,14390000000.0,136433770.0,3.56,0.0303,-374.07,-487.67,0.1653,0.0492,0.4853,2.3593,33.12,5.48,,
184,XOM,36.9,1.273,22580000.0,156020000000.0,4270000000.0,3.43,0.0953,31.52,11.44,0.0748,0.0395,0.0451,0.892,18.3,1.37,,
185,FFIV,119.99,0.978,830000.0,7340000000.0,60456000.0,0.0,-,144.1,234.74,0.2428,0.1262,0.2312,0.9247,20.18,4.9,,
186,FB,266.61,1.271,25950000.0,759520000000.0,2876000000.0,0.0,-,229.03,508.5,0.1829,0.1386,0.3393,0.3198,32.35,5.92,,
187,FAST,44.03,1.165,3810000.0,25260000000.0,574441630.0,0.87,0.0197,13.75,13.72,0.2967,0.2081,0.1982,0.4255,25.87,7.68,,
188,FRT,77.15,0.885,660000.0,5840000000.0,74766000.0,4.14,0.0545,-28.34,-99.92,0.1396,0.0521,0.5032,1.6801,25.92,3.62,,
189,FDX,232.79,1.46,3060000.0,62910000000.0,,2.6,0.0112,-51.6,-35.52,0.0703,0.0175,0.0349,3.0195,28.38,1.99,262000000.0,
190,FIS,144.23,0.732,3470000.0,89370000000.0,451000000.0,1.37,0.0101,122.61,90.17,0.006,0.0036,0.0938,0.6951,219.14,1.32,,
191,FITB,21.045,1.658,6370000.0,14990000000.0,720000000.0,0.94,0.0498,24.5,14.27,-,-,0.3271,-,-,-,,
192,FE,29.33,0.261,9990000.0,15900000000.0,542000000.0,1.52,0.0522,-670.4,-70.01,0.1308,0.0216,0.1664,5.0647,29.01,3.79,,
193,FRC,106.98,1.148,760000.0,18410000000.0,169551000.0,0.75,0.0099,211.45,167.82,-,-,0.2726,-,-,-,,
194,FISV,93.06,0.812,4790000.0,62320000000.0,522600000.0,0.0,-,161.97,153.01,0.0271,0.0115,0.1533,1.3512,69.55,1.88,,
195,FLT,231.0,1.427,680000.0,19420000000.0,90070000.0,0.0,-,152.92,241.91,0.2412,0.0731,0.4649,2.3001,31.0,7.48,,
196,FLIR,34.22,1.461,1570000.0,4630000000.0,136637000.0,0.68,0.0197,16.07,23.84,0.0917,0.0547,0.1448,0.6765,40.78,3.74,,
197,FLS,28.14,1.797,1000000.0,3660000000.0,131719000.0,0.76,0.027,13.04,9.36,0.1417,0.0516,0.1029,1.7479,24.7,3.5,,
198,FMC,108.56,1.094,660000.0,14430000000.0,132002000.0,1.6,0.0148,4.41,5.56,0.1885,0.0484,0.1782,2.8987,26.04,4.91,,
199,F,7.0,1.309,68150000.0,27850000000.0,4004000000.0,0.6,0.0852,-92.2,-119.24,0.0014,0.0002,0.0033,6.7908,747.07,1.06,,
